Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
273,4년째 신혼일기,일상,1,1,0,0,0,0,0,0,0,0,465,9.76,0
274,만화유치원,일상,1,1,0,0,0,0,0,0,0,0,"1,609",9.87,0
275,달콩달콩 일상,일상,1,0,0,0,0,1,0,0,0,0,"2,094",9.82,0
276,개포트,일상,1,0,0,0,0,0,0,0,0,0,"2,928",9.88,0
277,여행 다운,일상,1,0,0,0,0,0,0,0,0,0,"3,965",9.87,0
278,중고 팔레트,일상,1,0,1,0,0,0,0,0,0,0,"2,169",9.84,0
279,집에가고싶다,일상,1,1,0,0,0,0,0,0,0,0,"3,088",9.9,0
280,나는 토끼를 키운다.,일상,1,0,0,0,0,0,0,0,0,0,325,9.88,0
281,달기알,일상,1,1,0,0,0,0,0,0,0,0,"4,450",9.88,0
282,스투피즈,일상,1,1,0,0,0,0,0,0,0,0,"3,673",9.89,0
283,피곤한 직장인 일기,일상,1,0,0,0,0,0,0,0,0,0,"4,659",9.9,0
284,뷰티어스 인,일상,1,0,0,0,1,0,0,0,0,0,"1,280",7.46,0
285,오늘도 핸드메이드!,일상,1,0,0,0,0,0,0,0,0,0,"2,529",9.86,1
286,안녕하세요 간호사입니다,일상,1,1,0,0,0,0,0,0,0,0,"1,241",9.84,0
287,남조선일기,일상,1,0,0,0,1,0,0,0,0,0,933,9.58,0
288,아버지 이야기,일상,1,1,0,0,0,0,0,0,0,0,"4,268",9.84,0
289,주전부리,일상,1,1,0,0,0,0,0,0,0,0,"1,720",9.86,0
290,양치기 소년,일상,1,0,0,0,0,1,0,0,0,0,"1,023",9.78,0
291,결혼하고 싶지 않았는데 못하게 되었다.,일상,1,0,0,0,0,0,0,0,0,0,"1,979",9.85,0
292,1시간 30분,일상,1,0,0,0,0,1,0,0,0,0,"5,727",9.89,0
293,보람특기고등학교,일상,1,1,0,0,0,0,0,0,0,0,"2,880",9.89,0
294,예서중 유나!,일상,1,0,0,0,0,1,0,0,0,0,"1,338",9.36,0
295,나눠먹는 로맨스,일상,1,0,0,0,0,1,0,0,0,0,"2,907",9.71,0
296,LSD,일상,1,0,0,0,0,1,0,0,0,0,"7,683",9.86,0
297,쥐인님과 나,일상,1,1,0,0,0,0,0,0,0,0,"1,230",9.86,0
